Timp sistem,octeti specifici (Wh)
14:51:18.338,0000004203 Wh
14:51:19.350,0000004203 Wh
14:51:20.339,0000004203 Wh
14:51:21.641,0000004203 Wh
14:51:22.332,0000004203 Wh
14:51:23.330,0000004203 Wh
14:51:24.340,0000004203 Wh
14:51:25.346,0000004203 Wh
14:51:26.665,0000004203 Wh
14:51:27.340,0000004203 Wh
14:51:28.345,0000004203 Wh
14:51:29.344,0000004203 Wh
14:51:30.354,0000004203 Wh
14:51:31.683,0000004203 Wh
14:51:32.348,0000004203 Wh
14:51:33.352,0000004203 Wh
14:51:34.355,0000004203 Wh
14:51:35.358,0000004203 Wh
14:51:36.689,0000004203 Wh
14:51:37.347,0000004203 Wh
14:51:38.366,0000004203 Wh
14:51:39.353,0000004203 Wh
14:51:40.357,0000004203 Wh
14:51:41.689,0000004203 Wh
14:51:42.362,0000004203 Wh
14:51:43.364,0000004203 Wh
14:51:44.382,0000004203 Wh
14:51:45.369,0000004203 Wh
14:51:46.700,0000004203 Wh
14:51:47.374,0000004203 Wh
14:51:48.380,0000004203 Wh
14:51:49.385,0000004203 Wh
14:51:50.383,0000004203 Wh
14:51:51.707,0000004203 Wh
14:51:52.381,0000004203 Wh
14:51:53.398,0000004203 Wh
14:51:54.406,0000004203 Wh
14:51:55.390,0000004203 Wh
14:51:56.734,0000004203 Wh
14:51:57.406,0000004203 Wh
14:51:58.396,0000004203 Wh
14:51:59.406,0000004203 Wh
14:52:00.396,0000004203 Wh
14:52:01.739,0000004203 Wh
14:52:02.409,0000004203 Wh
14:52:03.406,0000004203 Wh
14:52:04.411,0000004203 Wh
14:52:05.406,0000004203 Wh
14:52:06.728,0000004203 Wh
14:52:07.421,0000004203 Wh
14:52:08.429,0000004203 Wh
14:52:09.421,0000004203 Wh
14:52:10.426,0000004203 Wh
14:52:11.737,0000004203 Wh
14:52:12.426,0000004203 Wh
14:52:13.441,0000004203 Wh
14:52:14.426,0000004203 Wh
14:52:15.436,0000004203 Wh
14:52:16.756,0000004203 Wh
